Name,Platform,Year,Genre,Publisher,Rank,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Pac-Man: Adventures in Time,PSP,2006.0,Fighting,Sony Computer Entertainment,578,2.63,0.76,1.1,0.12,0.65
Halo Wars,X360,2009.0,Strategy,Microsoft Game Studios,579,2.63,1.53,0.82,0.04,0.24
God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment,580,2.63,1.7,0.46,0.06,0.41
ESPN NFL 2K5,PS2,2004.0,Sports,Sega,581,2.62,2.15,0.12,0.0,0.36
Mario Strikers Charged,Wii,2007.0,Sports,Nintendo,582,2.62,1.07,1.06,0.24,0.25
Medal of Honor,X360,2010.0,Shooter,Electronic Arts,583,2.62,1.55,0.81,0.04,0.21
FIFA Soccer 10,X360,2009.0,Sports,Electronic Arts,584,2.62,0.59,1.79,0.01,0.23
NBA 2K12,X360,2011.0,Sports,Take-Two Interactive,585,2.62,2.31,0.14,0.01,0.16
Style Savvy,DS,2008.0,Simulation,Nintendo,586,2.61,0.63,0.84,0.96,0.19
Harry Potter and the Chamber of Secrets,PS2,2002.0,Action,Electronic Arts,587,2.61,0.9,1.22,0.04,0.44
Super Mario All-Stars: Limited Edition,Wii,2010.0,Platform,Nintendo,588,2.6,1.02,0.52,0.92,0.14
Streets of Rage,GEN,1990.0,Action,Sega,589,2.6,1.86,0.55,0.11,0.08
FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,590,2.59,0.48,1.63,0.04,0.43
Ratchet & Clank Future: Tools of Destruction,PS3,2007.0,Platform,Sony Computer Entertainment,591,2.59,0.93,1.12,0.08,0.45
NBA Live 2005,PS2,2004.0,Sports,Electronic Arts,592,2.59,2.03,0.21,0.0,0.35
LittleBigPlanet,PSP,2009.0,Platform,Sony Computer Entertainment,593,2.58,0.64,1.24,0.01,0.69
Killzone: Shadow Fall,PS4,2013.0,Shooter,Sony Computer Entertainment,594,2.58,0.89,1.33,0.07,0.28
Ghostbusters: The Video Game (DS Version),X360,2009.0,Action,Take-Two Interactive,595,2.58,1.04,1.24,0.03,0.27
Monster Hunter Freedom 2,PSP,2007.0,Role-Playing,Capcom,596,2.58,0.37,0.27,1.75,0.18
WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,597,2.58,1.4,0.88,0.03,0.26
Ratchet & Clank: Up Your Arsenal,PS2,2004.0,Platform,Sony Computer Entertainment,598,2.57,1.31,0.74,0.31,0.22
Art Academy,DS,2010.0,Misc,Nintendo,599,2.57,0.28,1.68,0.33,0.28
Dragon Age: Origins,X360,2009.0,Role-Playing,Electronic Arts,600,2.57,1.76,0.56,0.03,0.22
Madden NFL 08,PS2,2007.0,Sports,Electronic Arts,601,2.57,2.14,0.08,0.0,0.35
Sonic Adventure 2 Battle,GC,2001.0,Platform,Sega,602,2.56,1.7,0.59,0.21,0.07
Dragon Warrior II,NES,1987.0,Role-Playing,Enix Corporation,603,2.56,0.15,0.0,2.41,0.0
Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,604,2.56,2.11,0.23,0.0,0.22
Pokémon Colosseum,GC,2003.0,Role-Playing,Nintendo,605,2.54,1.21,0.57,0.7,0.07
Deca Sports,Wii,2008.0,Sports,Konami Digital Entertainment,606,2.54,1.13,0.87,0.29,0.25
Madden NFL 09,X360,2008.0,Sports,Electronic Arts,607,2.54,2.21,0.12,0.0,0.2
Space Invaders,2600,,Shooter,Atari,608,2.53,2.36,0.14,0.0,0.03
Crazy Taxi,PS2,2001.0,Racing,Acclaim Entertainment,609,2.52,1.13,1.12,0.06,0.22
Perfect Dark,N64,2000.0,Action,Nintendo,610,2.52,1.55,0.75,0.16,0.06
Game Party,Wii,2007.0,Misc,Midway Games,611,2.52,1.5,0.78,0.0,0.24
Dragon Warrior,NES,1986.0,Role-Playing,Capcom,612,2.52,0.49,0.0,0.52,1.51
Tomb Raider (2013),PS3,2013.0,Action,Square Enix,613,2.51,0.6,1.31,0.08,0.52
Marvel: Ultimate Alliance,X360,2006.0,Role-Playing,Activision,614,2.5,2.29,0.02,0.0,0.19
PES 2009: Pro Evolution Soccer,PS2,2008.0,Sports,Konami Digital Entertainment,615,2.5,0.13,0.07,0.26,2.05
Mario Party 2,N64,1999.0,Misc,Nintendo,616,2.5,1.28,0.14,1.08,0.01
Saints Row: The Third,PS3,2011.0,Action,THQ,617,2.49,0.86,1.06,0.18,0.39
Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,XB,2003.0,Action,Take-Two Interactive,618,2.49,1.84,0.56,0.0,0.09
LEGO Harry Potter: Years 1-4,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,619,2.49,1.29,0.97,0.0,0.23
Mortal Kombat: Deadly Alliance,PS2,2002.0,Fighting,Midway Games,620,2.49,1.81,0.52,0.0,0.15
Resistance 2,PS3,2008.0,Shooter,Sony Computer Entertainment,621,2.48,1.15,0.85,0.1,0.39
Pure,X360,2008.0,Racing,Disney Interactive Studios,622,2.48,1.38,0.85,0.0,0.25
Tomb Raider: The Last Revelation,PS,1998.0,Action,Eidos Interactive,623,2.48,1.15,1.14,0.06,0.13
NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,624,2.48,1.72,0.44,0.05,0.27
Rock Band,X360,,Misc,Electronic Arts,625,2.48,1.93,0.34,0.0,0.21
NBA 2K14,X360,2013.0,Sports,Take-Two Interactive,626,2.47,2.1,0.2,0.0,0.17
Mario Party 4,GC,2002.0,Misc,Nintendo,627,2.47,1.13,0.36,0.92,0.07
uDraw Studio,Wii,2010.0,Misc,THQ,628,2.46,1.67,0.58,0.0,0.2
Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,629,2.45,1.55,0.54,0.05,0.31
Final Fantasy V,SNES,1992.0,Role-Playing,SquareSoft,630,2.45,0.0,0.0,2.43,0.02
Final Fantasy Tactics,PS,1997.0,Role-Playing,SquareSoft,631,2.45,0.93,0.12,1.34,0.06
Twisted Metal 2,PS,1996.0,Racing,Sony Computer Entertainment,632,2.44,2.12,0.25,0.0,0.07
Halo: Combat Evolved Anniversary,X360,2011.0,Shooter,Microsoft Game Studios,633,2.44,1.44,0.73,0.04,0.22
Need for Speed Carbon: Own the City,PSP,2006.0,Racing,Electronic Arts,634,2.44,0.87,0.98,0.0,0.59
The Sims: Bustin' Out,PS2,2003.0,Simulation,Electronic Arts,635,2.43,1.07,1.19,0.0,0.18
Riven: The Sequel to Myst,PC,1997.0,Adventure,Red Orb,636,2.43,1.52,0.82,0.0,0.1
Tom Clancy's Rainbow Six: Vegas 2,X360,2008.0,Shooter,Ubisoft,637,2.42,1.56,0.61,0.02,0.23
Sonic Adventure,DC,1998.0,Platform,Sega,638,2.42,1.26,0.61,0.46,0.08
Ice Hockey,NES,1988.0,Sports,Nintendo,639,2.42,1.27,0.32,0.78,0.05
pro evolution soccer 2011,PS3,2010.0,Sports,Konami Digital Entertainment,640,2.42,0.29,1.18,0.54,0.41
Dragon Ball Z: Budokai 2,PS2,2003.0,Fighting,Atari,641,2.41,1.63,0.22,0.51,0.06
ATV Offroad Fury,PS2,2001.0,Racing,Sony Computer Entertainment,642,2.41,2.07,0.26,0.0,0.08
Dino Crisis,PS,1998.0,Action,Capcom,643,2.41,0.81,0.76,0.7,0.14
Minecraft,XOne,2014.0,Misc,Microsoft Game Studios,644,2.41,1.43,0.76,0.0,0.22
Need for Speed: ProStreet,PS2,2007.0,Racing,Electronic Arts,645,2.41,0.69,0.0,0.04,1.68
Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,646,2.4,2.07,0.08,0.0,0.26
Tetris Plus,PS,1996.0,Puzzle,JVC,647,2.4,2.1,0.24,0.0,0.07
Pro Wrestling,NES,1987.0,Fighting,Nintendo,648,2.4,0.77,0.18,1.42,0.03
Theme Hospital,PC,1997.0,Strategy,Electronic Arts,649,2.4,2.3,0.1,0.0,0.0
Frogger's Adventures: Temple of the Frog,GBA,,Adventure,Konami Digital Entertainment,650,2.39,2.15,0.18,0.0,0.07
Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,651,2.39,0.49,1.49,0.05,0.36
Zumba Fitness,X360,2010.0,Sports,505 Games,652,2.39,1.74,0.48,0.0,0.18
LEGO Indiana Jones: The Original Adventures,Wii,,Action,LucasArts,653,2.39,1.54,0.63,0.0,0.22
Monopoly,PC,1994.0,Misc,Hasbro Interactive,655,2.39,1.49,0.81,0.0,0.1
Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,656,2.39,1.07,0.87,0.04,0.4
Dead Island,X360,2011.0,Action,Deep Silver,657,2.39,1.48,0.71,0.0,0.2
Guitar Hero,PS2,2005.0,Misc,RedOctane,658,2.38,1.67,0.61,0.03,0.07
LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,659,2.38,1.02,0.97,0.0,0.39
Kinect: Disneyland Adventures,X360,2011.0,Misc,Microsoft Game Studios,660,2.38,1.73,0.46,0.02,0.18
WCW/nWo Revenge,N64,1998.0,Fighting,THQ,661,2.38,1.94,0.39,0.03,0.02
Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,662,2.38,1.0,0.76,0.26,0.36
NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,663,2.38,1.46,0.54,0.01,0.37
Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,664,2.38,2.04,0.15,0.0,0.19
Yu-Gi-Oh! The Duelists of the Roses,PS2,2001.0,Misc,Konami Digital Entertainment,665,2.38,1.16,0.91,0.0,0.3
Madden NFL 08,X360,2007.0,Sports,Electronic Arts,666,2.37,2.18,0.01,0.0,0.18
Half-Life 2,PC,2004.0,Shooter,Vivendi Games,667,2.37,2.28,0.02,0.08,0.0
The Incredibles,PS2,2004.0,Action,THQ,668,2.37,0.96,1.08,0.04,0.3
Tony Hawk's Underground 2,PS2,2004.0,Sports,Activision,669,2.37,1.25,0.86,0.01,0.26
Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,670,2.37,2.03,0.13,0.0,0.21
Kinect Sports: Season Two,X360,2011.0,Sports,Microsoft Game Studios,671,2.36,1.38,0.74,0.02,0.22
Kirby's Dream Land 2,GB,1995.0,Platform,Nintendo,672,2.36,0.69,0.14,1.48,0.05
LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,673,2.35,1.07,1.05,0.0,0.23
Donkey Kong Land II,GB,1996.0,Platform,Nintendo,674,2.35,1.39,0.48,0.4,0.08
Dragon Warrior Monsters,GB,1998.0,Role-Playing,Eidos Interactive,675,2.35,0.0,0.0,2.34,0.01
Midnight Club: Los Angeles,X360,2008.0,Racing,Take-Two Interactive,676,2.35,1.68,0.46,0.01,0.2
Skylanders SWAP Force,Wii,2013.0,Platform,Activision,677,2.34,1.32,0.83,0.0,0.2
WWE SmackDown vs Raw 2008,PS2,2007.0,Fighting,THQ,678,2.34,0.92,0.0,0.01,1.41
My Fitness Coach,Wii,2008.0,Sports,Ubisoft,679,2.34,1.2,0.9,0.0,0.24
Resident Evil - Code: Veronica X,PS2,2001.0,Action,Capcom,680,2.34,1.08,0.7,0.34,0.21
The Sims 3,X360,2010.0,Simulation,Electronic Arts,681,2.33,1.27,0.86,0.0,0.2
The Legend of Zelda: Majora's Mask 3D,3DS,2015.0,Action,Nintendo,682,2.32,1.14,0.54,0.47,0.17
NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,683,2.32,1.93,0.14,0.0,0.24
Just Dance Kids,Wii,2010.0,Misc,Ubisoft,684,2.32,1.57,0.56,0.0,0.19
Mario Tennis,N64,2000.0,Sports,Nintendo,685,2.32,0.78,0.4,1.06,0.07
Grand Theft Auto,PS,1997.0,Action,Take-Two Interactive,686,2.32,0.79,1.35,0.04,0.14
James Bond 007: Everything or Nothing,PS2,2004.0,Shooter,Electronic Arts,687,2.31,0.85,1.06,0.09,0.32
WarioWare Touched!,DS,2004.0,Puzzle,Nintendo,688,2.31,0.52,0.45,1.21,0.13
Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,689,2.31,1.58,0.64,0.0,0.09
Chrono Trigger,SNES,1995.0,Role-Playing,SquareSoft,690,2.31,0.28,0.0,2.02,0.01
Cool Boarders 3,PS,1998.0,Sports,989 Studios,691,2.31,1.65,0.46,0.1,0.1
LEGO Marvel Super Heroes,X360,2013.0,Action,Warner Bros. Interactive Entertainment,692,2.3,1.24,0.85,0.0,0.21
Guild Wars 2,PC,2012.0,Action,NCSoft,693,2.3,0.95,1.06,0.0,0.29
Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,694,2.3,0.95,0.54,0.62,0.18
Dead Island,PS3,2011.0,Action,Deep Silver,695,2.29,1.08,0.75,0.15,0.31
Tomb Raider II,PC,1997.0,Action,Eidos Interactive,696,2.29,0.91,1.25,0.0,0.13
God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,697,2.29,1.23,0.68,0.04,0.34
Need for Speed Underground 2,XB,2004.0,Racing,Electronic Arts,698,2.28,1.38,0.8,0.0,0.1
Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,699,2.28,0.3,1.27,0.46,0.26
Just Dance 2015,Wii,2014.0,Misc,Ubisoft,700,2.28,1.11,0.98,0.0,0.2
Yokai Watch Busters,3DS,2015.0,Action,Level 5,701,2.28,0.0,0.0,2.28,0.0
Mario Bros.,NES,1983.0,Platform,Nintendo,702,2.28,0.51,0.12,1.63,0.02
FIFA Soccer 09,PS2,2008.0,Sports,Electronic Arts,703,2.28,0.38,0.07,0.01,1.82
Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,704,2.28,1.01,0.9,0.0,0.37
Borderlands 2,PS3,2012.0,Shooter,Take-Two Interactive,705,2.28,1.05,0.77,0.1,0.36
TOCA Touring Car Championship,PS,1997.0,Racing,Codemasters,706,2.28,0.07,2.0,0.02,0.18
Paper Mario: Sticker Star,3DS,2012.0,Role-Playing,Nintendo,707,2.27,1.12,0.39,0.64,0.12
Sonic's Ultimate Genesis Collection,PS3,2009.0,Misc,Sega,708,2.27,1.34,0.62,0.0,0.31
Super Monkey Ball: Banana Blitz,Wii,2006.0,Misc,Sega,709,2.27,1.07,0.92,0.04,0.24
Kirby: Nightmare in Dream Land,GBA,2002.0,Platform,Nintendo,710,2.27,1.22,0.1,0.91,0.04
Wario Land 4,GBA,2001.0,Platform,Nintendo,711,2.26,0.9,0.73,0.54,0.09
Guitar Hero III: Legends of Rock,PS3,2007.0,Misc,Activision,712,2.26,1.4,0.54,0.02,0.3
Call of Duty 3,Wii,,Shooter,Activision,713,2.26,1.19,0.84,0.0,0.23
Resident Evil 4,Wii,2007.0,Action,Capcom,714,2.26,1.34,0.57,0.14,0.21
Minecraft,PSV,2014.0,Misc,Sony Computer Entertainment Europe,715,2.25,0.28,0.79,0.87,0.32
Onimusha 2: Samurai's Destiny,PS2,2002.0,Adventure,Capcom,716,2.25,0.62,0.44,1.06,0.13
Cool Boarders 2,PS,1997.0,Sports,UEP Systems,717,2.25,1.52,0.46,0.2,0.08
Paper Mario: The Thousand-Year Door,GC,2004.0,Role-Playing,Nintendo,718,2.25,1.48,0.25,0.46,0.06
Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,719,2.25,1.93,0.15,0.0,0.17
Monster Hunter Tri,Wii,2009.0,Role-Playing,Nintendo,720,2.25,0.67,0.41,1.05,0.11
Dissidia: Final Fantasy,PSP,2008.0,Fighting,Square Enix,721,2.25,0.51,0.51,0.91,0.32
Sonic Advance,GBA,2001.0,Platform,Sega,722,2.24,1.19,0.71,0.22,0.13
Spyro: Season of Ice,GBA,2001.0,Platform,Vivendi Games,723,2.23,1.29,0.83,0.0,0.11
Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,724,2.23,1.74,0.25,0.21,0.03
LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,725,2.23,1.42,0.61,0.0,0.21
Dance Dance Revolution X2,PS2,2009.0,Simulation,Konami Digital Entertainment,726,2.23,1.09,0.85,0.0,0.28
New Super Luigi U,WiiU,2013.0,Platform,Nintendo,727,2.22,1.27,0.62,0.18,0.16
Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,728,2.22,0.88,1.03,0.0,0.31
Scribblenauts,DS,2009.0,Puzzle,Warner Bros. Interactive Entertainment,729,2.22,1.71,0.32,0.02,0.18
The Legend of Zelda: Link's Awakening DX,GB,1998.0,Adventure,Nintendo,730,2.22,1.0,0.63,0.45,0.13
Need for Speed: Hot Pursuit,X360,2010.0,Racing,Electronic Arts,731,2.22,1.03,0.98,0.0,0.21
BioShock 2,X360,2010.0,Shooter,Take-Two Interactive,732,2.21,1.45,0.55,0.02,0.19
Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,733,2.21,1.47,0.55,0.0,0.19
Devil May Cry 3: Dante's Awakening Special Edition,PS2,2006.0,Action,Capcom,734,2.21,1.06,0.82,0.05,0.28
Rock Band 2,X360,2008.0,Misc,Electronic Arts,735,2.2,1.78,0.24,0.0,0.18
Frogger,2600,1981.0,Action,Parker Bros.,736,2.2,2.06,0.12,0.0,0.02
Guitar Hero II,X360,2007.0,Misc,Activision,737,2.2,2.01,0.02,0.0,0.17
Wario Land 3,GB,2000.0,Platform,Nintendo,738,2.2,1.11,0.51,0.34,0.23
Pro Yakyuu Family Stadium,NES,1986.0,Sports,Namco Bandai Games,739,2.2,0.15,0.0,2.05,0.0
Sonic Unleashed,Wii,2008.0,Platform,Sega,740,2.2,1.28,0.68,0.02,0.21
High School Musical: Makin' the Cut!,DS,2007.0,Puzzle,Disney Interactive Studios,741,2.2,1.06,0.91,0.0,0.23
Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,742,2.19,0.34,0.97,0.55,0.33
Saints Row,X360,2006.0,Action,THQ,743,2.19,1.17,0.78,0.02,0.22
Star Wars: Knights of the Old Republic,XB,2003.0,Role-Playing,Activision,744,2.19,1.68,0.44,0.0,0.08
Kirby's Pinball Land,GB,1992.0,Misc,Nintendo,745,2.19,0.87,0.17,1.1,0.05
Donkey Kong Country,GB,2000.0,Platform,Nintendo,746,2.19,1.04,0.72,0.3,0.13
Hitman: Absolution,PS3,2012.0,Action,Square Enix,747,2.19,0.59,1.07,0.07,0.45
Yu-Gi-Oh: Duel Monsters 4,GB,2000.0,Role-Playing,Konami Digital Entertainment,748,2.18,0.0,0.0,2.17,0.01
ATV Offroad Fury 2,PS2,2002.0,Racing,THQ,749,2.18,1.92,0.2,0.0,0.06
Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,750,2.18,1.21,0.78,0.01,0.17
Madden NFL 25,X360,2013.0,Sports,Electronic Arts,751,2.18,1.97,0.07,0.0,0.13
Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,752,2.18,1.29,0.04,0.73,0.12
Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,Nintendo,753,2.17,1.48,0.17,0.47,0.06
Final Fantasy XIII,X360,2010.0,Role-Playing,Square Enix,754,2.17,1.27,0.68,0.01,0.2
Star Wars: Rogue Squadron,N64,1998.0,Simulation,Nintendo,755,2.17,1.6,0.46,0.08,0.03
Tennis,NES,1984.0,Sports,Nintendo,756,2.17,0.48,0.11,1.56,0.02
The Sims: House Party,PC,2001.0,Simulation,Electronic Arts,757,2.16,1.23,0.83,0.0,0.1
Your Shape featuring Jenny McCarthy,Wii,2009.0,Sports,Ubisoft,758,2.16,1.51,0.47,0.0,0.18
Syphon Filter 2,PS,2000.0,Shooter,Sony Computer Entertainment,759,2.15,1.5,0.55,0.02,0.08
Tom Clancy's Rainbow Six: Siege,PS4,2015.0,Shooter,Ubisoft,760,2.15,0.54,1.16,0.13,0.32
Volleyball,NES,1987.0,Sports,Nintendo,761,2.15,0.14,0.03,1.98,0.0
FIFA 15,XOne,2014.0,Sports,Electronic Arts,762,2.15,0.6,1.41,0.0,0.14
Call of Duty: Roads to Victory,PSP,2007.0,Shooter,Activision,763,2.14,0.52,1.03,0.0,0.59
Super Mario RPG: Legend of the Seven Stars,SNES,1996.0,Role-Playing,Nintendo,764,2.14,0.66,0.0,1.45,0.03
Mahjong,NES,1983.0,Misc,Nintendo,765,2.14,0.01,0.0,2.13,0.0
R.C. Pro-Am,NES,1988.0,Racing,Nintendo,766,2.14,1.47,0.38,0.19,0.1
SimCity 2000,PC,1992.0,Simulation,Maxis,767,2.14,1.2,0.84,0.0,0.1
Demon Attack,2600,1981.0,Shooter,Imagic,768,2.13,1.99,0.12,0.0,0.02
Dance Dance Revolution Extreme,PS2,2004.0,Simulation,Konami Digital Entertainment,769,2.13,1.04,0.81,0.0,0.27
Tetris DS,DS,2006.0,Puzzle,Nintendo,770,2.13,0.64,0.07,1.35,0.08
Final Fantasy Tactics Advance,GBA,2003.0,Role-Playing,SquareSoft,771,2.13,0.82,0.37,0.89,0.05
Far Cry: Primal,PS4,2016.0,Action,Ubisoft,772,2.13,0.59,1.16,0.06,0.33
Toy Story 3: The Video Game,DS,2010.0,Action,Disney Interactive Studios,773,2.12,0.93,0.97,0.02,0.21
Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,774,2.12,0.91,0.05,1.07,0.09
Kirby's Epic Yarn,Wii,2010.0,Platform,Nintendo,775,2.12,1.47,0.09,0.45,0.11
Project Gotham Racing,XB,2001.0,Racing,Microsoft Game Studios,776,2.12,1.37,0.61,0.05,0.09
Golf,GB,1989.0,Sports,Nintendo,777,2.12,0.83,0.33,0.92,0.04
NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,778,2.11,1.61,0.27,0.05,0.18
Borderlands,PS3,2009.0,Shooter,Take-Two Interactive,779,2.11,1.2,0.62,0.0,0.29
Tony Hawk's Pro Skater,N64,2000.0,Sports,Activision,780,2.11,1.68,0.4,0.0,0.03
PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,Konami Digital Entertainment,781,2.11,0.11,1.34,0.4,0.26
Need for Speed: Hot Pursuit 2,PS2,2002.0,Racing,Electronic Arts,782,2.11,1.68,0.31,0.02,0.09
Mario Sports Mix,Wii,2010.0,Sports,Nintendo,783,2.11,0.9,0.45,0.63,0.13
Rock Band,Wii,,Misc,MTV Games,784,2.11,1.35,0.56,0.0,0.2
Dynasty Warriors 4,PS2,2003.0,Action,Tecmo Koei,785,2.11,0.63,0.21,1.13,0.13
Mortal Kombat,X360,2011.0,Fighting,Warner Bros. Interactive Entertainment,786,2.11,1.63,0.33,0.0,0.15
Parasite Eve,PS,1998.0,Role-Playing,SquareSoft,787,2.1,0.94,0.07,1.05,0.04
Scooby-Doo! Night of 100 Frights,PS2,2002.0,Platform,THQ,788,2.1,1.17,0.72,0.0,0.22
Project Gotham Racing (JP weekly sales),XB,2002.0,Action,Microsoft Game Studios,789,2.1,1.54,0.44,0.04,0.07
Need for Speed: Most Wanted 5-1-0,PSP,2005.0,Racing,Electronic Arts,790,2.1,1.77,0.13,0.02,0.18
Portal 2,X360,2011.0,Shooter,Valve Software,791,2.1,1.41,0.51,0.01,0.17
Devil May Cry 3: Dante's Awakening,PS2,2005.0,Action,Capcom,792,2.09,0.99,0.63,0.29,0.19
Derby Stallion,PS,1997.0,Sports,ASCII Entertainment,793,2.09,0.0,0.0,1.96,0.14
Dead Rising,X360,2006.0,Action,Capcom,794,2.09,1.16,0.65,0.08,0.2
Finding Nemo,PS2,2003.0,Action,THQ,795,2.09,1.26,0.6,0.05,0.18
NBA 2K11,X360,2010.0,Action,Take-Two Interactive,796,2.09,1.84,0.12,0.01,0.13
Wipeout: The Game,Wii,2009.0,Misc,Mindscape,797,2.09,1.97,0.0,0.0,0.12
The Sims 2: Pets,DS,2006.0,Simulation,Electronic Arts,798,2.09,0.92,0.94,0.0,0.22
Battlefield: Hardline,PS4,2015.0,Shooter,Electronic Arts,799,2.09,0.7,0.93,0.14,0.32
Metal Gear Solid: Peace Walker,PSP,2010.0,Action,Konami Digital Entertainment,800,2.09,0.46,0.42,0.96,0.25
World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,801,2.08,1.77,0.32,0.0,0.0
Tetris Worlds,PS2,2002.0,Puzzle,THQ,802,2.08,1.11,0.71,0.0,0.27
Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,803,2.08,0.63,1.02,0.05,0.39
Dance Dance Revolution: Hottest Party,Wii,2007.0,Simulation,Konami Digital Entertainment,804,2.08,1.36,0.52,0.0,0.2
Mario Party 5,GC,2003.0,Misc,Nintendo,805,2.08,0.97,0.33,0.73,0.06
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,806,2.08,0.59,0.99,0.13,0.36
Sim Theme Park,PC,1998.0,Strategy,Electronic Arts,807,2.08,2.04,0.04,0.0,0.0
Warcraft: Orcs & Humans,PC,1994.0,Strategy,Activision,808,2.08,0.89,1.08,0.0,0.11
Skate 3,PS3,2010.0,Sports,Electronic Arts,809,2.08,0.79,0.94,0.0,0.35
Spec Ops: Airborne Commando,PS,2002.0,Shooter,Take-Two Interactive,810,2.07,1.54,0.46,0.0,0.08
Kingdom Hearts: Birth by Sleep,PSP,2010.0,Role-Playing,Square Enix,811,2.07,0.63,0.42,0.75,0.26
UFC 2009 Undisputed,X360,2009.0,Fighting,THQ,812,2.07,1.48,0.39,0.0,0.19
Dark Souls,PS3,2011.0,Role-Playing,Namco Bandai Games,813,2.07,0.75,0.54,0.54,0.23
Yu-Gi-Oh! The Eternal Duelist Soul,GBA,2001.0,Strategy,Konami Digital Entertainment,814,2.07,1.64,0.36,0.0,0.07
Need for Speed: ProStreet,X360,2007.0,Racing,Electronic Arts,815,2.06,1.04,0.8,0.01,0.22
The Sims 3,PS3,2010.0,Simulation,Electronic Arts,816,2.06,0.73,0.97,0.02,0.34
Tom Clancy's Splinter Cell: Conviction,X360,2010.0,Action,Ubisoft,817,2.06,1.2,0.63,0.04,0.19
Pokemon Mystery Dungeon: Red/Blue Rescue Team,GBA,2005.0,Role-Playing,Nintendo,818,2.06,0.71,0.52,0.74,0.08
The Incredibles,GBA,2004.0,Action,THQ,819,2.06,1.15,0.77,0.04,0.1
R4: Ridge Racer Type 4,PS,1998.0,Racing,Namco Bandai Games,820,2.06,0.68,0.46,0.79,0.13
SoulCalibur II,PS2,2003.0,Fighting,Namco Bandai Games,821,2.06,1.06,0.62,0.13,0.25
Mario & Luigi: Dream Team,3DS,2013.0,Role-Playing,Nintendo,822,2.06,0.89,0.57,0.46,0.13
Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,823,2.05,0.73,0.92,0.04,0.37
Carnival Games,DS,2008.0,Misc,Take-Two Interactive,824,2.05,1.23,0.64,0.0,0.19
NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,825,2.05,1.43,0.33,0.04,0.25
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,826,2.05,1.16,0.06,0.83,0.0
Sonic Mega Collection,GC,2002.0,Misc,Infogrames,827,2.05,1.47,0.48,0.05,0.06
Diablo III,PS3,2013.0,Role-Playing,Activision,828,2.05,0.71,0.83,0.15,0.35
NBA Jam,GEN,1992.0,Sports,Arena Entertainment,829,2.05,1.75,0.25,0.0,0.05
PGR4 - Project Gotham Racing 4,X360,2007.0,Racing,Microsoft Game Studios,830,2.05,0.48,1.29,0.02,0.25
Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,831,2.04,1.11,0.27,0.53,0.14
Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,832,2.04,1.45,0.42,0.01,0.16
